LET_bin_keV_um,D_fraction,H_fraction,D_rate_Gy_s,H_rate_Sv_s
<3,0.6392303792639868,0.6421997348648252,1.2774331686983248e-08,1.953671244879058e-08
3–10,0.26177263233869824,0.1719585045924588,5.231244541161378e-09,5.231244541161378e-09
10–30,0.09122600088294419,0.10276090282872663,1.8230535211695463e-09,3.1261461202028037e-09
30–100,0.006086064333919978,0.055633343586624744,1.2162345062405988e-10,1.6924526392796347e-09
≥100,0.0016849231804508757,0.02744751412736466,3.367137775734125e-11,8.349959706123374e-10
