,<3,3–10,10–30,30–100,≥100
phi_scale,0.16244431182683702,0.04349687398605614,0.0259933525918235,0.014072444635090785,0.006942843949812027
LIS_norm,0.007199747892602195,0.001927839290240715,0.0011520599486680775,0.0006237094575109489,0.0003077160753379291
cross_sec,0.00035554310580751563,9.520194025880071e-05,5.6891849316942074e-05,3.080046703757771e-05,1.519585557224341e-05
neutron_H,0.01502169622036754,0.004022281975934331,0.002403680633640803,0.0013013197323376586,0.0006420248979272842
Q_factor,0.3871864422243846,0.10367491294183398,0.06195522390614993,0.03354170860392213,0.016548286718173075
DDREF,0.06242003651333197,0.0167138906366857,0.009988075295705643,0.005407406994284737,0.0026678223939019838
ERR_scale,0.09826878122858039,0.02631292376934259,0.015724373790115445,0.008512960334808002,0.004199992019022089
EAR_scale,0.0034721006426515206,0.0009297064478398508,0.0005555844659857625,0.0003007858109138449,0.00014839702707268956
