precision_scale,Q_sigma,DDREF_high,ERR_sigma,EAR_sigma,REID_median,REID_p5,REID_p95,exceeds_limit_fraction
0.1,0.06931471805599453,1.1,0.03,0.034999999999999996,0.0702143318130867,0.061945452482165785,0.07994285911050132,1.0
0.25,0.17328679513998632,1.25,0.075,0.0875,0.06530469920365996,0.04687967048594758,0.0906094272001929,1.0
0.5,0.34657359027997264,1.5,0.15,0.175,0.058708816670506744,0.03256128694498963,0.11006045968716803,0.968
0.75,0.5198603854199589,1.75,0.22499999999999998,0.26249999999999996,0.05228573045316443,0.021248373328186573,0.1324791855012195,0.8366666666666667
1.0,0.6931471805599453,2.0,0.3,0.35,0.05000514665385272,0.014771446461405713,0.16779106464479684,0.744
1.25,0.8664339756999316,2.25,0.375,0.4375,0.04469499640880162,0.00885720213400764,0.18784099578056818,0.6586666666666666
1.5,1.0397207708399179,2.5,0.44999999999999996,0.5249999999999999,0.04206749545551196,0.00539943187991964,0.25450651895070514,0.618
2.0,1.3862943611198906,3.0,0.6,0.7,0.03317909417882488,0.0022214078769493832,0.38396782010490355,0.5273333333333333
