launch_date,phi_at_launch,D_mGy,H_mSv,REID_median,REID_p5,REID_p95,panel
2003-01-01,844.5354838709677,243.9270194043837,884.1433260025075,0.03445248379654131,0.009530220212609467,0.11830964884326867,real
2003-02-01,831.6903225806451,244.69407587765122,886.6451700820433,0.03454997335516456,0.009557187701153878,0.11864442747678364,real
2003-03-01,825.7,237.97637582614155,866.4849987290509,0.03376439034339787,0.00933988031798712,0.11594673953044508,real
2003-04-01,832.6870967741935,231.490680728742,847.306854610102,0.03301707406551202,0.009133158250028845,0.11338045934775444,real
2003-05-01,852.9533333333333,231.51063713179065,847.2719223009041,0.03301571285542172,0.009132781713115204,0.11337578495943641,real
2003-06-01,895.5096774193548,236.44406373473225,861.5673090856635,0.03357276233719977,0.009286872322721634,0.11528868996119716,real
2003-07-01,893.2,248.94487986920834,899.0221081375241,0.035032266491657735,0.009690599266629204,0.12030061958052257,real
2003-08-01,854.2064516129033,264.3954183415399,944.9809619014674,0.03682314882718235,0.010185991794297569,0.1264505001373723,real
2003-09-01,827.0,281.7464983171602,996.4550253120769,0.03882894277872899,0.010740833011907506,0.13333838605761064,real
2003-10-01,830.0666666666667,298.7938614420996,1047.5956544689018,0.04082174377100321,0.011292080126874196,0.1401816542237842,real
2003-11-01,951.6064516129032,314.2599487999115,1093.2890626163976,0.042602282465931826,0.01178461140444338,0.14629601477302281,real
2003-12-01,935.8266666666667,331.68391247639414,1145.460797612411,0.044635262642024345,0.012346972855085039,0.15327725804590925,real
2004-01-01,850.9032258064517,346.5350247135958,1190.2495355343497,0.04638054897981744,0.012829752652078854,0.15927056218544958,real
2004-02-01,808.1096774193549,365.7049063192925,1248.5214490525063,0.04865123530095364,0.013457868198173685,0.16706808711495277,real
2004-03-01,742.6206896551724,377.3910938009953,1284.0154770761242,0.05003433393371332,0.013840459904008324,0.17181764057309362,real
2004-04-01,703.9064516129032,382.7965130615271,1300.1340306141553,0.05066242690038594,0.014014202509091042,0.17397450852974938,real
2004-05-01,677.3133333333334,380.71390502488003,1293.5215236330312,0.050404756811248085,0.013942926002404665,0.17308967079371443,real
2004-06-01,663.1032258064516,374.99067366642527,1275.3576240762281,0.049696962682447554,0.013747136521666604,0.17065910946390617,real
2004-07-01,682.1466666666666,374.3771917958788,1273.2864665945785,0.049616255722978383,0.013724811423105538,0.17038196218795376,real
2004-08-01,689.674193548387,379.27951253804406,1288.3819234442133,0.050204481599053094,0.013887526023505695,0.17240192676438035,real
2004-09-01,669.2709677419355,379.649588055287,1289.4153777716733,0.05024475229660194,0.013898665673640136,0.17254021612876444,real
